data_prediksi,hasil_prediksi,aktual
"['uang', 'masuk', 'rekening', 'mantap', 'dech', 'pokok', 'aplikasi', 'investasi', 'kualitas', 'moga', 'rusa', 'maju', 'lesat', 'trims']",1,1
"['lot', 'lodingnya']",0,0
"['masuk', 'kode', 'nisniyah', 'dapat', 'ribu', 'modal', 'investasi']",1,1
"['gabisa', 'buka', 'baru']",0,0
[],1,1
"['moga', 'lancar', 'urus', 'usaha', 'kerja', 'rejekinya']",1,1
"['parah', 'aplikasi', 'downloadcs', 'malas', 'kerjanyesal', 'investasi', 'dh', 'cs', 'bot']",0,0
"['tari', 'deposit', 'banget', 'masuk']",0,0
"['bantu', 'bibit', 'hasil', 'jga', 'lumayan', 'banding', 'nabung', 'bank', 'deposit', 'bibit', 'bln', 'dpt', 'rebu', 'nabung', 'tabungam', 'jangka', 'saldo', 'jt', 'daprtmya', 'tigarebu', 'mending', 'ikutin', 'robo', 'bibit', 'dr', 'pd', 'instrumen', 'mas', 'mula', 'wd', 'nunggu', 'masuk', 'rek', 'suda', 'info', 'wd', 'butuh', 'proses', 'yuukk', 'cobain', 'lupa', 'pake', 'kode', 'ref', 'maniacuan']",0,1
"['tolong', 'kasih', 'fitur', 'tarik', 'aplikasi', 'dana', 'kang', 'bibit', 'libih', 'simpel', 'mudah', 'guna', 'aplikasi', 'dana']",1,0
"['notifikasi', 'promosi', 'ganggu', 'banget', 'anj']",0,0
"['reksadana', 'beda', 'nabung', 'atm', 'pas', 'butuh', 'tinggal', 'ambil', 'reksadana', 'prosesnyapertama', 'jual', 'nunggu', 'tutup', 'bursa', 'tentu', 'nilai', 'navnyaproses', 'catat', 'bank', 'kustodian', 'bank', 'penampungterakhir', 'bank', 'tampung', 'masuk', 'rekening']",0,1
"['tgl', 'desember', 'ampe', 'januari', 'aplikasi', 'bibit', 'buka', 'dana', 'sanaudah', 're', 'install', 'tp', 'tetep', 'soperti']",0,0
"['aplikasi', 'buka', 'reksadana', 'jt']",0,0
"['potong', 'jual', 'reksadana', 'hasil', 'investasi', 'hmmm', 'worth', 'it']",1,0
"['selamat', 'siang', 'bpkibu', 'aknes', 'rajaguru', 'pinjam', 'danauang', 'mohon', 'datadata', 'hapus', 'hapus', 'aplikasi', 'hp', 'mohan', 'perhati', 'terima', 'kasih']",1,1
"['astagaaaaa', 'gw', 'jual', 'dana', 'investasi', 'lamaaaaaa', 'terang', 'kerja', 'udah', 'minggu', 'proses', 'manajer', 'bank', 'kusdian', 'apa', 'ituu', 'butuh', 'dana', 'dada', 'investasi', 'medingan', 'nabung', 'bank', 'udah', 'bener', 'investasi', 'aplikasi', 'pintu', 'gw', 'cepet', 'banget', 'dana', 'langsung', 'masuk', 'rekening', 'gila', 'aplikasi', 'duit', 'gw', 'ngendap', 'cair', 'emang', 'gw']",0,0
"['tolong', 'transaksi', 'peecepat', 'min', 'jos']",1,0
['registrasi'],0,0
"['uang', 'gratis', 'deposit', 'masuk', 'kode', 'referal', 'guys', 'mgratis']",1,0
"['dapat', 'hadiah', 'uang', 'rp', 'aplikasi', 'bibit', 'guna', 'masuk', 'kode', 'reffreal', 'lupa', 'berifestasi', 'aplikasi', 'bibit', 'cuan', 'salam', 'investasi']",1,1
"['aplikasi', 'bibit', 'sungguh', 'keren', 'investasi', 'mula', 'tutorial', 'bayar', 'kayak', 'gopay', 'link', 'dll']",1,1
"['tari', 'dana', 'banget', 'bayang', 'butuh', 'dana', 'urgentsegera', 'wahh', 'parah', 'tari', 'dana']",0,0
"['keren', 'bgt', 'bibit', 'mantap', 'pokok', 'wkwkwk', 'aplikasi', 'ringan', 'mudah', 'ajar', 'profit', 'trlalu', 'gede', 'pilih', 'nyimpen', 'uang', 'lumayan', 'safe', 'wkwk']",1,1
"['mantap', 'komen', 'ilang']",1,0
"['proses', 'lamamau', 'beli', 'kekmau', 'jual', 'keksemua', 'lamaproses', 'jual', 'hasil', 'info', 'uang', 'cair', 'dlm', 'haripas', 'jual', 'tulis', 'jual', 'hr', 'senin', 'jam', 'proses', 'hr', 'jugapaling', 'lambat', 'selasa', 'nyatanyad', 'proses', 'selasabaru', 'tulis', 'nunggu', 'cair', 'haha', 'rekomendasi', 'org', 'butuh', 'uang', 'dada', 'ambil', 'tabung', 'gk', 'pasti', 'uang', 'transfer', 'udah', 'bener', 'nabung', 'bank']",0,0
"['kemarin', 'top', 'up']",1,0
"['bulan', 'nyoba', 'investasi', 'bibit', 'untung', 'telah', 'rugi', 'curiga', 'system', 'untung', 'rugi', 'moga', 'curiga', 'ku']",1,0
"['respon', 'cepat', 'email', 'via', 'chat', 'online', 'tingkat', 'cair', 'smpe', 'udh', 'bagus', 'aplikasi', 'guna', 'mula', 'maein', 'saham', 'lanjut', 'bintang', 'bintang', 'terimakasih']",0,1
['inovasi'],1,1
"['puas', 'pake', 'bibit', 'investasi', 'aman', 'mula']",1,1
"['aplikasi', 'bagus', 'ajar', 'melek', 'investasi', 'btw', 'kode', 'referal', 'bintanglaut', 'spasi', 'daftar', 'aplikasi', 'yaa', 'dapet', 'cashback', 'rp', 'lumayan', 'investasi']",1,1
"['untunggan', 'pakai', 'reksadana', 'tarik', 'tunai', 'cepat', 'apaapa', 'untunggam', 'apk', 'mohon', 'jelas']",1,0
"['ajar', 'investasi', 'hasil', 'lumayan', 'bgt', 'sy', 'masuk', 'uang', 'rb', 'lumayan', 'numbuh', 'nambah', 'rb', 'trus', 'sy', 'nambah', 'lg', 'masukkn', 'jt', 'udh', 'nambah', 'rb', 'lumayan', 'pokok', 'bs', 'alarm', 'rajin', 'nabung', 'rb', 'bulan', 'lumayan', 'ad', 'minimal', 'top', 'up', 'uang', 'nambah']",0,1
"['cair', 'ribet', 'kayak', 'ovo', 'invest', 'reksadana', 'proses', 'cair', 'hitung', 'detik', 'cair', 'rekening']",0,0
"['cair', 'sekaliii', 'nyimpen', 'dana', 'darurat', 'keburu', 'mati', 'lapar', 'tolong', 'cair', 'real', 'time', 'lamaaa']",0,0
"['aplikasi', 'alay', 'lebay', 'norak', 'anjg']",1,0
"['harap', 'bibit', 'cepat', 'transaksi', 'tunggu', 'transaksi', 'tunggu', 'order', 'sopi']",0,1
"['registrasi', 'gagal', 'foto', 'ktp', 'foto', 'selfie', 'ktp', 'ujung', 'ujung', 'gagal', 'sulit', 'daftar', 'rugi', 'aplikasi', 'apk', 'investasi', 'mudah', 'daftar', 'beli', 'cair']",0,0
"['hp', 'redmi', 'update', 'os', 'masuk', 'aplikasi', 'langsung', 'tutup', 'aplikasi', 'masuk', 'pin', 'mohon', 'baik']",1,0
"['app', 'keren', 'bngtkita', 'atur', 'uang', 'disiniyg', 'investasi', 'yuk', 'gunain', 'kode', 'ancacawang', 'dapetin', 'cashback']",1,1
"['ko', 'bom', 'keuntangan', 'masuk', 'akun', 'padalhan', 'acu', 'mula', 'notifikasi', 'lambat', 'ko', 'sampe', 'bom', 'emang', 'acu', 'trimkasih']",0,0
"['nabung', 'rutin', 'auto', 'debet', 'bank', 'jago', 'kali', 'instal', 'uninstal', 'apk', 'tetep', 'biaa', 'nyambung', 'bank', 'jago', 'udah', 'niat', 'nabung', 'typ', 'auto', 'debit', 'lgsg', 'dri', 'bank', 'jago', 'eehmalah', 'error', 'nunggu', 'konfirmasi', 'bibit', 'respon', 'good', 'bgt', 'bener', 'bantu', 'ganti', 'hp', 'nyambung', 'bank', 'jago', 'tolong', 'baik', 'apk', 'nyabiar', 'better']",0,1
"['aplikasi', 'scam', 'download', 'dana', 'jual', 'masuk', 'udah', 'nunggu', 'minggu', 'pas', 'nanya', 'masuk', 'eehh', 'suruh', 'nanya', 'bank', 'nyoba', 'saranin', 'aplikasi', 'bahaya', 'untung', 'hilang', 'uang']",0,0
"['yukk', 'kaum', 'muda', 'investasi', 'bibit', 'daftar', 'lupa', 'pake', 'kode', 'referral', 'bibitjadiduiit', 'dapatin', 'cashback', 'rbu', 'lindung', 'investasi', 'bibit', 'terimakasih']",1,1
"['yuk', 'gabung', 'lupa', 'peke', 'kede', 'ref', 'cashback', 'yusufgaul', 'tekan', 'makasih']",1,1
"['cashback', 'ribu', 'pake', 'kode', 'reveral']",1,1
"['bagus', 'top', 'up', 'widraw', 'lancar', 'coutemer', 'service', 'responsif']",1,1
"['cari', 'dana', 'benget', 'udah', 'tgl', 'ngajukan', 'cair', 'sampek', 'cair']",0,0
"['akun', 'tulis', 'registrasi', 'proses', 'minggu', 'daftar', 'mohon', 'cerah']",0,0
"['sbn', 'pakai', 'bcapunya', 'cmn', 'bri', 'mandiri', 'rekening']",0,0
"['bibit', 'jedag', 'jedug', 'pas', 'dibukak', 'error', 'gimana', 'yaa']",0,0
"['daftar', 'bang', 'jago', 'gk', 'daftar', 'tulisanya', 'sudh', 'kali', 'pasu', 'pasword', 'blablaablaablaablaa', 'gitu', 'trss', 'udh', 'rbu', 'makuasukin', 'unistal', 'rugi']",0,0
"['ajar', 'respon', 'cs', 'cepat', 'beli', 'mudah', 'pilih', 'smga', 'byk', 'produk', 'syariah', 'fitur', 'cepat', 'beli', 'update', 'beli', 'cmn', 'nav', 'update']",1,1
"['uwalah', 'kayak', 'gin', 'aplikasi', 'bibit', 'jual', 'reksa', 'dana', 'harga', 'jual', 'gara', 'tari', 'minggu', 'nilai', 'jual', 'verifikasi', 'susut', 'bingung', 'nggak', 'sesuai', 'proses', 'tari', 'proses', 'tunggu', 'tari', 'susut', 'untung', 'nggak', 'beres', 'ni', 'bibit', 'modal', 'kasih', 'untung', 'main', 'aplikasi']",0,0
"['beli', 'jual', 'tari', 'dana', 'butuh', 'proses', 'butuh', 'ber', 'depo', 'nyoba', 'untung', 'buntung', 'habis', 'tari', 'kena', 'biaya', 'tf', 'pilih', 'bank', 'eh', 'kanapa', 'ubah', 'kaya', 'belah']",0,0
"['aplikasi', 'ubah', 'pandang', 'finansial', 'hemat', 'pake', 'kode', 'referal', 'setyaki', 'dapat', 'rb', 'cashbak']",1,1
"['prose', 'kirim', 'jual', 'reksa', 'dana', 'cepat', 'dikarnakan', 'orang', 'butuh', 'uang', 'dadak', 'cepat', 'proses', 'sampe', 'kelaaman', 'kirim', 'uang', 'proses', 'cepat', 'tarik', 'proses']",0,0
"['bibit', 'aplikasi', 'bagus', 'banget', 'tabung', 'reksadana', 'tambah', 'cashback', 'silah', 'pakai', 'kode', 'investasibagus', 'lumayan', 'dapet', 'cashback', 'serasa', 'udah', 'dapet', 'untung', 'duluan', 'ehehe', 'moga', 'bantu']",1,1
"['yuk', 'pakai', 'kode', 'referal', 'oxdeghl', 'dapetin', 'cashback', 'rb']",1,1
"['moga', 'bibit', 'bagus', 'yahh', 'dar', 'amplikasi', 'bodong']",1,0
"['mudah', 'ngk', 'ribet', 'mantap']",1,1
"['susah', 'daftar']",0,0
"['aplikasi', 'bibit', 'ngk', 'bukatolong', 'min', 'aplikasi', 'eror', 'gmn']",0,0
"['suka', 'banget', 'aplikasi', 'bibit', 'cocok', 'mula', 'kaya', 'transaksi', 'gampang', 'banget', 'metode', 'bayar', 'proses', 'cepet', 'masukin', 'kode', 'dicobainaja', 'dapet', 'cashback', 'bibit']",1,1
"['gimana', 'kasih', 'masuk', 'uang', 'impestasi', 'ap', 'bank', 'kirim', 'maaf', 'ajar', 'tolong', 'bimbinganya', 'makasih', 'kasih', 'bintang', 'udh', 'ber', 'investigasi']",0,0
"['ayo', 'daftar', 'pake', 'kode', 'kamukayakok', 'dapet', 'saldo', 'tambah']",1,1
"['hey', 'bibit', 'gk', 'ikut', 'step', 'by', 'step', 'registrasi', 'uda', 'isi', 'data', 'pas', 'registrasi', 'foto', 'ktp', 'foto', 'ktp', 'gk', 'bisaapa', 'apk', 'bibit', 'pandang', 'fisik', 'scan', 'orang', 'good', 'looking', 'ajadasar', 'aplikasi', 'sial', 'mandang', 'fisik', 'aplikasi', 'hapus', 'playstore', 'aplikasi', 'gk', 'gunaaplikasi', 'mandang', 'fisik', 'hahaha', 'lawak', 'lu', 'badut']",0,0
"['bibit', 'aplikasi', 'pembohonggue', 'udah', 'undang', 'teman', 'teman', 'hasil', 'buka', 'bank', 'jago', 'dapet', 'cashback', 'rb', 'sampe', 'detik', 'ini', 'masuk', 'bibitxjago', 'bohong', 'gue', 'tunggu', 'jam']",0,0
"['bibit', 'tolong', 'deperbaiki', 'banyak', 'bank', 'transfer', 'transaksi', 'mudah', 'tambah', 'bank', 'bank', 'digital', 'bank', 'neo', 'commerce', 'seabank', 'dll']",0,0
"['aplikasi', 'mudah', 'invest', 'kecewa', 'service', 'gag', 'slalu', 'uptodate', 'sabtu', 'minggu', 'tanggal', 'merah', 'gag', 'update', 'ubah', 'harga', 'sistem', 'beli', 'reksadana', 'realtime', 'beli', 'harga', 'senin', 'april', 'beli', 'invest', 'harga', 'selasa', 'april']",1,0
"['ngerti', 'kait', 'investasi', 'bibit', 'paham', 'investasi', 'untung', 'yukk', 'cashback', 'pake', 'kode', 'nizgb', 'jamin', 'cashback', 'rb']",1,1
"['masuk', 'aplikasi', 'bibit', 'tolong', 'tambah', 'tanggal', 'masuk', 'dana', 'cair', 'sulit', 'beda', 'dana', 'cair']",0,0
"['aplikasi', 'user', 'journey', 'catat', 'user', 'portofolio', 'porto', 'fitur', 'transfer', 'porto', 'orang']",1,1
"['masuk', 'kode', 'refelar', 'qysqjis', 'terimakasih', 'bibit', 'investasi', 'bagussego', 'ttp', 'maju']",0,0
"['aplikasi', 'pakai', 'vpn', 'buka', 'pakai', 'vpn', 'buka', 'aplikasi', 'situs', 'masuk', 'kategori', 'larang', 'indonesia']",1,0
"['terbaeekk', 'bantu', 'mula', 'saran', 'investasi', 'mi', 'kompeten', 'profil', 'resiko', 'atur', 'sesuai', 'umur', 'guna', 'pokok', 'ajippp']",1,1
"['nyesel', 'banget', 'maka', 'bibit', 'bisa', 'semangat', 'abis', 'bangun', 'liat', 'app', 'ngeliat', 'tingkat', 'tabung', 'hehehe', 'dasar', 'bibit', 'alih', 'perhatiann']",1,1
"['pinjam', 'dana', 'online', 'bantu', 'modal', 'usaha', 'hasil', 'percaya', 'jujur']",1,1
"['aplikasi', 'bagus', 'tp', 'aplikasi', 'error', 'maaf', 'tolong', 'baik', 'makasih']",0,0
"['nyoba', 'ken', 'tambah', 'timeframe', 'chartnya', 'tf', 'tf', 'menit', 'rasa', 'sensasi', 'jual', 'beli', 'depth', 'chart', 'banding', 'buyer', 'seller', 'advanced', 'chart', 'indikator', 'diperkayayang', 'butuh', 'referal', 'pakai', 'bintangkejora', 'moga', 'investasi', 'sinar', 'terima', 'kasih']",1,1
"['jual', 'hasil', 'uang', 'blm', 'masuk', 'gmn']",0,1
"['terimakasih', 'bibitid', 'alami', 'kendala', 'akses', 'apk', 'bibitid', 'jam', 'kendala', 'skrg', 'hasil', 'top', 'up', 'chat', 'wa', 'resmi', 'bibitid', 'koment', 'ig', 'bibitid', 'respon', 'cs', 'cepat']",0,1
"['takut', 'ribet', 'investasi', 'reksa', 'dana', 'tp', 'bibit', 'beda', 'tampil', 'sederhana', 'mudah', 'erti', 'mula', 'sprti', 'keluh', 'cepat', 'tanggap', 'kerenn']",1,1
"['aplikasi', 'bagus', 'mudah', 'investasi', 'bentuk', 'saham', 'jangka', 'lupa', 'pasu', 'kode', 'refferal', 'idannnuntuk', 'saldo', 'ribu', 'akun']",1,1
"['min', 'pas', 'tarik', 'dana', 'jt', 'kirim', 'pas', 'tari', 'jt']",0,0
"['kekurangana', 'transaksi', 'jual', 'beli', 'karna', 'sistem', 'depo', 'nilai', 'jual', 'beda', 'nilai', 'jual', 'konsisten', 'tp', 'emang', 'aplikasi', 'cocot', 'investor', 'mula', 'daftar', 'silah', 'daftar', 'kode', 'referal', 'swarabibit', 'km', 'cashback', 'rb']",0,1
"['komen', 'negatif', 'hapus', 'iseng', 'investasi', 'wd', 'eh', 'proses', 'wd', 'makan', 'minggu', 'alhasil', 'terus', 'proses', 'wd', 'cepat', 'ajak', 'teman', 'investasi', 'platformaplikasi', 'menang', 'legal', 'awas', 'ojk', 'doang']",0,0
"['aplikasi', 'bagus', 'mudah', 'langsung', 'hub', 'cs', 'aplikasi', 'wa', 'pokok', 'recomend', 'investasi']",1,1
"['aplikasi', 'download', 'nyesal', 'suka', 'cari', 'promo', 'aplikasi', 'promomya', 'gajelas', 'udah', 'persyaratanya', 'hadiah', 'alas', 'fix', 'app', 'sampah']",0,0
"['aplikasi', 'bagus', 'investasi', 'konsisten']",1,1
"['kereen', 'bibit', 'mudah', 'paham', 'pakai', 'kode', 'referal', 'kitaterdepan', 'pake', 'petik', 'dapetin', 'cashback', 'sd', 'rb', 'nambah', 'modal', 'investasi', 'yuk', 'gaes']",1,1
"['aplikasi', 'investasi', 'mudah', 'gampang', 'uptodate', 'hasil', 'beli', 'mudah', 'tari', 'dana', 'cair', 'loveee', 'it']",1,1
"['mantap', 'apk', 'hasil', 'cuancocok', 'kaum', 'rebah']",1,1
"['mantep', 'rem', 'investasi', 'mula']",1,1
"['udah', 'masuk', 'beli', 'hasil', 'tp', 'blm', 'turun', 'profit', 'kek', 'proses', 'gt', 'udah', 'minggu', 'pdhl', 'udah', 'muncul']",0,1
"['aplikasi', 'bantu', 'investasi', 'bagus', 'mula', 'tampil', 'simpel', 'ajar', 'cepat']",1,1
"['aplikasi', 'cuan', 'top']",1,1
"['bibit', 'bantu', 'mula', 'jasa', 'mudah', 'praktek', 'denga', 'bantu', 'robo', 'pilih', 'syariahnya']",1,1
"['masuk', 'kode', 'referal', 'lvxdmc', 'dapat', 'cashback', 'ribu', 'rupiah']",1,1
"['cair', 'maksimal', 'kerja', 'aju', 'udah', 'kerja', 'cair', 'bener', 'ngandelin', 'cair', 'deh', 'cair', 'cari', 'investasi', 'cair', 'cepat']",0,0
"['bismillahirrahmanirrahim', 'moga', 'aplikasi', 'bantu', 'siap']",1,1
"['gagal', 'cair', 'rekening', 'aktif', 'gagal', 'validasi', 'rekening', 'rekening', 'anggap', 'aktif']",0,0
"['proses', 'cairin', 'uang']",0,0
"['akun', 'bibit', 'hp', 'flash', 'aplikasi', 'hapus', 'pas', 'instal', 'bibit', 'dapet', 'nomor', 'verifikasi', 'telah', 'diam', 'logo', 'bibit', 'masuk', 'masuk', 'mohon', 'bantu']",0,0
"['aplikasi', 'bagus', 'pakai', 'kode', 'referal', 'mraqqab', 'rp']",1,1
"['alam', 'bibit', 'ama', 'aplikasi', 'banget', 'bibit', 'unggul', 'enak', 'ngumpulin', 'referal', 'dapat', 'cashback', 'bibit', 'pilih', 'reksadana', 'milih', 'tingkat', 'resiko', 'kawankawan', 'batu', 'gabung', 'cashback', 'rp', 'pakai', 'refferal', 'tulan']",1,1
"['aplikasi', 'bagus', 'tampil', 'mudah', 'paham', 'guna', 'mudah', 'rekomen', 'banget', 'gabung', 'cuss', 'download', 'pake', 'referal', 'wulanbibit', 'bonus']",1,1
"['babi', 'susah', 'masuk']",0,0
"['halo', 'bibit', 'dev', 'fitur', 'livechat', 'masalah', 'menu', 'apa', 'lancar', 'chat', 'cs', 'muncul', 'notif', 'hubung', 'jaring', 'siang', 'malam', 'gitu', 'baik']",0,0
"['pake', 'referral', 'hnuvc', 'auto', 'persentase', 'investasi', 'mu']",1,1
"['bibit', 'aplikasi', 'investasi', 'reksa', 'dana', 'cocok', 'mula', 'guna', 'bingung', 'pakai', 'tampil', 'user', 'friendly', 'banget', 'joss', 'dahh', 'bibit']",1,1
"['bro', 'sis', 'pakai', 'kode', 'abizzam', 'lumayan', 'cashback', 'bibit', 'cocok', 'banget', 'investasi', 'mula', 'aplikasi', 'mudah', 'paham', 'erti', 'mantengin', 'grafik']",1,1
"['alhamdulillah', 'aplikasi', 'mudah', 'mula', 'kayak', 'modal', 'lihat', 'angka', 'nambah', 'neng', 'ampun', 'temanteman', 'daftar', 'pakai', 'kode', 'referal', 'rbutkpemula', 'modal', 'ribu', 'rupiah']",1,1
"['ui', 'easy', 'used', 'isi', 'saldo', 'cek', 'otomatis', 'kecuali', 'transfer', 'atm', 'upload', 'bukti', 'transfer', 'beli', 'langsung', 'tap', 'tahap', 'jual', 'guna']",0,1
"['aplikasi', 'bagus', 'simpel', 'investasi', 'terus', 'inovasi', 'tingkat', 'layan', 'terimakasih']",1,1
"['ayo', 'teman', 'investasi', 'hidup', 'gitu', 'yaayo', 'rubah', 'hidup', 'investasi', 'resakdana', 'thanks', 'bibit', 'udh', 'aplikasi', 'mudah', 'tabung']",1,1
"['aplikasi', 'udah', 'semangat', 'isi', 'form', 'lengkap', 'klik', 'bintang', 'maaf', 'bintang', 'posting', 'hmmmm']",0,0
"['bagus', 'mula']",1,1
"['aplikasi', 'investasi', 'data', 'akurat', 'ringkas', 'performa', 'phorthopolio', 'ubah', 'ubah', 'modal', 'investasi', 'total', 'beli', 'ubah', 'ubah', 'samatranksaksi', 'selesai', 'ter', 'updatepantesan', 'minus', 'mulu', 'orang', 'ngak', 'updateketika', 'kece', 'mulu']",0,0
"['bantu', 'verifikasi', 'akun', 'krna', 'nomor', 'hangus', 'asa', 'dimasukin', 'grup', 'wa', 'keluarga', 'sruh', 'ngirim', 'pap', 'tonton', 'rame', 'gk', 'deh']",0,0
"['kurang', 'aplikasi', 'real', 'time', 'kerja', 'update', 'serba', 'slow', 'rekomen', 'buru', 'bagus', 'nyimpan', 'uang']",1,0
"['sistem', 'tinggal', 'update', 'reksadanax', 'sai', 'msh', 'suka', 'eror', 'mohon', 'baik', 'nyaman', 'guna', 'temu', 'apk', 'mksh']",1,0
"['aplikasi', 'bagus', 'bgtt', 'mula', 'investasi', 'yok', 'daftar', 'bibit', 'ajar', 'investasi', 'daftar', 'pake', 'kode', 'referal', 'yoknabungsantuy', 'langsung', 'cashback', 'ribu', 'lhoo', 'selamat', 'coba']",1,1
"['untung', 'ikut', 'keluh', 'apa', 'uang', 'kerja', 'keras', 'harap', 'hati', 'tipu', 'kedok', 'investasi', 'mo', 'investasi', 'usaha', 'daftar', 'perintah', 'bas', 'bisnis', 'sampe', 'kecewa', 'gara', 'dpt', 'uang', 'gampang', 'super', 'instan']",0,0
"['pakai', 'bibit', 'pas', 'juli', 'bingung', 'ragu', 'krna', 'ngerti', 'ternyataaaaaaa', 'tuhh', 'robo', 'advisor', 'jelas', 'grup', 'telegram', 'grupp', 'jg', 'friendly', 'nyesalll', 'duluu', 'ikut', 'bibit', 'guys', 'benerann', 'boong', 'oiya', 'syarat', 'ktp', 'swafoto', 'ktp', 'rekening', 'nama', 'pake', 'kode', 'referalku', 'mariinvestasibibit', 'cashback']",1,1
"['keren', 'aplikasi', 'bayar', 'mudah', 'operasi', 'mudah', 'mula', 'bibit', 'perhati', 'returnnya', 'tabung', 'recommended', 'banget']",1,1
