reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOGZznXuaOLkR88WhjrERBJd4vhC0j0m_2qj-m_8Zrnzv9gG_ZCWDoU2fSm4bjAg24cCYrCscCxDHPmOMA,Q,https://play-lh.googleusercontent.com/a-/AOh14GhryNg3qq9Y7J36f9zP5OAzdhHu4RCrgJrW1-b4KQ,"Saya investasi reksadana saham di bibit, sejauh ini sangat baik, hanya saja butuh sedikit perbaikan lagi karena masih terkesan lemot responnya saat mau buka tutup fiturnya",5,2,3.30.2,2022-03-21 05:59:26,,
gp:AOqpTOElePUZEMk-LGcNdPtAQQzUpNOr-Jk5VBg-nya1qyyoytKMHs5fn9gyvchF4_aySa9oYDtBi21R9lr9qw,nadia novinda,https://play-lh.googleusercontent.com/a-/AOh14GgUAkuC7cf3OjyHl6Sv8IiHtFa8XOrRtPLngiYsWQ,kenapa user saya di aplikasi bibit tiba2 keluar sendiri bahkan saat saya login kembali memakai email saya malah email saya tdk terverifikasi padahal email saya bnr2 sdh terverifikasi dan nomor hp saya sudah terverifikasi juga. tolong diberikan penjelasannya. investasi saya sebesar 200 ribu dan saya sudah mengajukan penjualan.,1,27,3.30.2,2022-03-20 09:46:24,"Hai kak, akun kakak ter-logout dikarenakan sesi login kakak telah berakhir. Kakak tidak perlu khawatir karena dana investasi dan data kakak akan tetap aman. Silahkan update aplikasi dan pastikan login kembali ke akun kakak menggunakan nomor hp dan email terdaftar di Bibit. Jika terkendala hubungi layanan live chat Bibit/WA +622150864230. Trims
",2022-03-20 10:12:32
gp:AOqpTOFZK2Us6OAqTuJd1JPbCm5Wo6SFxW1LH-p94AIF3emu2kjy-nBAjv4ay2ZCw8i1I_h_UloaZqQCEZb1Bw,IPONKLEFRY,https://play-lh.googleusercontent.com/a-/AOh14GidJua3jH-QEpMnD8b4EN7TATr-99OZ19V2n1oWXg,"Lebih mudah di bibit, investor pemula pake kode : (budidayaduit) biar dapet cashback Rp. 25.000,00. Untuk investasi pertama kamu. Ayo sama-sama jadi investor muda Indonesia.",5,18,3.30.2,2022-03-15 15:49:56,,
gp:AOqpTOEad4-0M1X_jJT2J5WUfnF3XBr1aafmqARTsn2QXgqBVeALLGL59Sh95zHTn-19K8mZg1V8PWjGM6CosA,Eriko Hermawan,https://play-lh.googleusercontent.com/a/AATXAJz-teACu4nKbv8M0pcRT0xh0K_aYeRSuIZWjA3V=mo,"Bintang 1 lah untuk pelayanan customer service bibit terutama di livechat dan chat IG dengan CS Shabrina dan Aprilia, pelayanan sangat mengecewakan semoga masukan saya direspon, sebagai customer saya sangat kecewaa harapan saya untuk ke2 orang tersebut harus di ganti dengan orang yang lebih kompeten",1,24,3.29.3,2022-03-13 15:00:53,"Hai Kak Eriko, mohon maaf atas ketidaknyamanan yang ditimbulkan. Terkait kendala kakak sebelumnya sudah kami bantu melalui live chat dan DM instagram namun kakak tidak berkenan melanjutkan proses verifikasi atas kendala kakak. Jika ingin kembali dilanjutkan, kakak bisa hubungi live chat Bibit atau WA +622150864230. Terima kasih",2022-03-13 15:05:57
gp:AOqpTOHUMbYEk3Y2XZvLTWj4cpxuk1tYMVrhJwMczn063BPrN_pi7YClVHaz4uPeYwn4ku1Uia3CeV4nhH5q-g,Eva Karlina,https://play-lh.googleusercontent.com/a-/AOh14Ggp7Cu5M0YNhmUkxsJpAipQPygRfxX56FCVm4Gt,"Aplikasinya aneh banget masaa mau ambil uang sendiri harus nunggu lama banget. Katanya 3 hari kerja tapi ini udah mau seminggu uang saya tetap belom masuk ke rekening, padahal status nya sudah terjual. Gimana si maksudnya kok di persulit gitu??",1,43,3.29.3,2022-03-11 00:17:44,"Hai kak, pencairan dana ditransfer langsung dari Bank Kustodian setiap produk reksadana bisa saja berbeda waktunya. Jika dana penjualan blm diterima & sudah batas waktu dari tanggal Order Jual Berhasil (3 hari kerja utk RD Pasar Uang & 7 hari kerja utk RD Saham dan Obligasi). Silahkan langsung hubungi live chat Bibit/WA +622150864230. Terima kasih",2022-03-11 01:16:18
gp:AOqpTOF4YPDGFjpGkBCL4Audo7tpQ9DMk26G7pPglEy6tYVQqCGITWmrM-McYby2iPJ398WI5rxQkfs_cZ9pUg,san-koo,https://play-lh.googleusercontent.com/a-/AOh14GhHXOkNwrSKy3xyaoOaa3dbeqdZbOkOx_BmW-cPcQ,"Kalo mw jual/cairin lamaa.. Ngga kaya aplikasi lain. Untuk Verifikasi manager investasi aja 2 hari, kirain abis sudah berhasil uang langsung masuk. Nunggu lagi maksimal 7 hari. Klo bwt nanti di ambil untuk urgent/dadakan ngga worth it. Come on bibit di perbaiki lah. Apa coba persetujuan manager investasi. Pck lah",3,98,3.29.3,2022-03-09 08:51:23,,
gp:AOqpTOH2-qs4AoYXLCSZxgcJkw--a6C5-FCz_kPVvW6I7MrdmPUqNVlwQI3J5bDdWQBhd7hERje72dD1Ier4LA,Pian Septiana,https://play-lh.googleusercontent.com/a-/AOh14GhEoc5AseNt8Vur09MXNv-bzxjrAiES941BgpuXbQ,"Tes beli rutin, skrng2 ini masih lancar, tp masih ada kendala, waktu proses nya 2hari kerja, kalau bisa 1hari kerja. masukan: Hari senin beli dan hari selasa masuk. Dan hari selasanya juga bisa dilihat harga lagi turun apa naik.",5,52,3.29.3,2022-03-10 04:26:01,,
gp:AOqpTOGXtSO_-3b-oml1nnmJwqqAUF0s2iIVYJ3ZIQmQ7n9hlaFNmilV4Jq91K5kPONwresD8o_-cLziN8epbg,Priyanto Triana,https://play-lh.googleusercontent.com/a-/AOh14GiMOGgdAcao7L-NBlqHSrppLx9WUT92XQgzgXIq,"Reksadana beda sama nabung di ATM yg pas lagi butuh tinggal ambil.... reksadana ada prosesnya...pertama setelah ""jual"" masih nunggu tutup hari bursa buat menentukan nilai NAVnya...proses pencatatan bank kustodian ke bank penampung....terakhir dari bank penampung baru masuk ke rekening kita.....",5,123,3.30.2,2022-03-16 02:51:10,,
gp:AOqpTOESAQsY8hfJU7SLWJQ2dNtW8cLo1Vi0zWo91fezOctCtxPq4gkt9fDv4VKpTznfSQzblnMPWi7ji3Oe1w,Sami Santoso,https://play-lh.googleusercontent.com/a/AATXAJyjjD3Z-RKjqd12PX3ids8XHhEv8SxlPuJ25CbZ=mo,"Wkwkw... mati lo min... Lu nyari pemula yg invest netijen... Yg mereka pikir gampang kayak top up koin... Ini investasi mbak Neti(jen), kalian udah di bikinin platfrom buat belajar inves... Inves guys, bukan pinjol ato koprasi simpan pinjam... Duit lu di puterin muter, gak segampang lo narik di Atm... Jgn Lol dong... Uang kalian di sini di beliin sesuatu, kalo sesuatu itu mo di jual ya harus ada yg beli dong, nah si Bibit ni nge""gampangin"" proses lu.. Biar brang lu di jual untung,",5,141,3.29.3,2022-03-08 09:52:41,,
gp:AOqpTOHpRbNL2hkiOcaCxD5POnHGksP8LkThpZ6HK4UZSg_zsI1LUbwO-21uR4iQ3QttOoxkwwysHbmZozNkmw,Iqbal 46,https://play-lh.googleusercontent.com/a-/AOh14GjBAvuhSi88p9ho4fLikaVA7pQRy4Ke5GLtkbh8,"Ini itu investasi saham bukan binary option yang cuma nebak grafik dan bisa di atur waktunya turun atau naik , Sedangkan pada saham jelas sekali masalah kepemilikan suatu aset perusahaan untuk pembagian hasil",5,5,3.29.2,2022-03-17 08:12:17,,
gp:AOqpTOFgAiw70pVkdNjTQzcrG6YaXikyyAZDyFECdujyyppetdgfCmJHyjo9RwOpuyHZlmC-okpbf_vfIFVikw,Haya Busa,https://play-lh.googleusercontent.com/a/AATXAJxvCRlY5Z_zkXeZ3_rYwwX00GGuoL1PAaaL2yfU=mo,"Tidak cepat respon saat deposit atau jual, harus nunggu 2 hari atau lebih, tolong di perbaiki demi kenyamanan pengguna Setidaknya di bagian deposit, jadi males nabung kalo harus nunnggu lama",3,77,3.29.3,2022-03-04 14:25:31,,
gp:AOqpTOHARtjErcEzOmSZMhukn5xuDhrwGHZhLKR3NFv1JohWgVPqG-lp68893dVJVTEWuRqSJkXJ9LgPzpZrmw,AGUS RADI S,https://play-lh.googleusercontent.com/a-/AOh14Ggp-zx-G_J6lLrO8H7ebay9iQ_D3DZ3utyCR_uMeg,Perhatian bibit ini tidak baik. kalau anda tidak mau kehabisan uang saya sarankan tidak melakukan apapun di bibit ini. Saya sudah dirugikan mohon tidak menambah lagi kerugian warga Terimakasih salam sejahtera.,1,25,3.29.3,2022-03-07 03:42:31,"Hai kak, investasi ibarat sedang memulai Bisnis, tidak ada kepastian untung atau rugi. Dalam jangka pendek market bisa saja sedang turun, namun tidak perlu khawatir, karena dana investasi dikelola oleh Manajer Investasi profesional. Info lebih lanjut hubungi layanan live chat Bibit/WA +622150864230, tim support akan langsung membantu kakak. Trims",2022-03-07 05:29:25
gp:AOqpTOEFEMCI0LRyxyBArrTSSa08a08s_Cl00R0ij8LwJLOWi52BgGGC9lMKrZbzpM_XP15X8wAjrgF6-5S96A,Hendra Afriadi,https://play-lh.googleusercontent.com/a-/AOh14Gj1qriEWGShIdurj8yx89kCS0hqDAx1jgWu1yRVkQ,Udah 2 minggu lebih tapi penjualan dana blum juga masuk rekening. Bagaimana mau invest skala besar. Jadi ragu. Admin WA juga udah du hubungi tapi ga ada respon sama sekali. 🤦‍♀️,1,67,3.29.3,2022-03-04 09:23:26,"Hai kak, jika dana penjualan kakak belum diterima dan sudah melebihi batas waktu 7 hari kerja dari tanggal status ""order jual berhasil"", harap langsung hubungi layanan live chat Bibit atau WA +622150864230 agar tim support kami segera membantu untuk konfirmasi ke Bank Kustodian. Terima kasih",2022-03-04 10:02:54
gp:AOqpTOHahmqGEjrERonwln-7xKapnJ_fssUkvPxLcU2Tuk-9zW0JqvsCZFS2iPz7PlonkCXqt4j0daoOMAZLgw,vovi anggara,https://play-lh.googleusercontent.com/a-/AOh14Gi_tRXNQZgBm11z9ww6i2qJ75qC9F6DxHBJOZ4Rlw,"Dana pensiun atau tabungan saya di bibit, telah saya jual, tapi sudah seminggu dana masih belum masuk ke rekening saya ?? Tolong bantu saya, karena dananya kurang lebih 6 juta rupiah, dan saya sangat membutuhkan dana tersebut.",1,108,3.29.3,2022-03-03 12:51:02,"Hai kak, jika dana penjualan kakak belum diterima dan sudah melebihi batas waktu 7 hari kerja dari tanggal status ""order jual berhasil"", harap langsung hubungi layanan live chat Bibit atau WA +622150864230 agar tim support kami segera membantu untuk konfirmasi ke Bank Kustodian. Terima kasih",2022-03-04 00:46:50
gp:AOqpTOH4Hr7hrji_Z976oSSDnRjwGK6QvRtPWQxVxMlGQRU05jLeKtircBHotg3nTzrkWOjjn_9D-NFJyrV54g,Achmad Afandi,https://play-lh.googleusercontent.com/a/AATXAJyjnT1lSBxHGZ1mpz9ogXa-zM4ijAVZv1oyD2tq=mo,"sebagai pemula penjelasan yang di berikan cukup membantu, cuma perlu juga di jelaskan objek investasinya bergerak di bidang apa az, biar kami yg ingin berinvestasi lebih paham dan terarah",5,7,3.29.3,2022-03-15 10:34:49,,
gp:AOqpTOFo2lVxeuh7QhS3OfDOdVQ0m1dJAk4nKRvPMr5clev9rX7o_UgvnjUA-zrxXMhRJ3Fs6Nvqd03jznnfzg,Nico Romanza,https://play-lh.googleusercontent.com/a-/AOh14GgjthhedpjW4QtOBiWkXPvmgZd5SpyhcL6ohk9z5g,"Ada baiknya untuk pelajari dan pahami terlebih dahulu sebelum memulai teman2. Ada kode ref cashback 25K ""yokberkah""",5,1,3.30.2,2022-03-22 10:42:41,,
gp:AOqpTOGfgmcsIFWJMA_DUghRwkDqRUk4Hszv6UJIT3Zbus5l_k5KGGBxP3AC5FCGwnWCVB1fpaU3uBK0ijzvtw,Arif Nawawi,https://play-lh.googleusercontent.com/a-/AOh14GgJPJw6GKBVtIQsW7UAOd7-wtwOOABcMHsQaNVylA,aplikasi ini cukup bagus. untuk naik turunnya investasi itu sudah maklum. justru yang seperti ini yang jauh dari tipu-tipu. karena pada realitanya memang seperti itu. sumoga kedepannya lebih baik lagi kualitasnya.,5,32,3.30.2,2022-03-17 11:53:41,,
gp:AOqpTOE58SfFC5GpE5bxILRw_0bgwSo50mxa-HuEe1wwl0RR5j8OgYzps13pv4V5QHGT1uirHS8wWTobZGJAKQ,Krismania Yulianti,https://play-lh.googleusercontent.com/a/AATXAJwue0vkyzeS28z5WV0fB1kPV4WwURWsZDeQjFex=mo,"Saya merasa terbantu dgn bibit. Bagi hasilnya jga lumayan dibandingkan nabung dibank. Deposit 300K di bibit selama 3bln dpt EMPAT REBU. Nabung di tabungam berjangka saldo 1,5jt daprtmya cuma TIGAREBU. Yg pasti mendingan ikutin ROBO dari bibit dr pd bikin instrumen sendiri klo masi pemula. Saya WD nunggu 2 hari masuk ke REK. Dan memang suda diinfokan dari awal WD butuh proses kan. Yuukk yg mau cobain jgn lupa pake kode REF aku ya : ""maniacuan2""",5,65,3.30.2,2022-03-17 03:07:47,,
gp:AOqpTOGnpBI7QYC7l5ZZv9D3a_peWx-1Wv-UMXKehAqGUomaHcwxXOKtQ3l06yuez_nSQfspZqx_KpiNUbTt0g,junG's official santuy,https://play-lh.googleusercontent.com/a-/AOh14Gh2E-_accc7gPMhcq_IQ6KdJ-99e62kRJv_xid9Ig,"Aplikasi investasi bagi pemula dengan modal yang minim, insha Allah ini aplikasi amanah karna diawasi dan terdaftar di ojk Untuk yang mau dapet cash back masukkan kode refferal "" Wakyai """,3,17,3.29.2,2022-03-02 04:06:04,,
gp:AOqpTOF6SM21BoLLfn7-OH1FmA4JzKrxCvigItIJPDNQw_vQ8PcCUL7ixwmWz2OxLB3pATB3CPLTkVN7i0YHtw,Aknes Rajaguru,https://play-lh.googleusercontent.com/a/AATXAJyQtb3KIQs27Dz6y2lHGFKph5F4n3WPwscxMOSD=mo,"Selamat siang Bpk/Ibu Saya Aknes Rajaguru, tidak jadi melakukan peminjaman dana/uang, jadi mohon untuk data-data saya di hapus kan. Saya juga sudah hapus aplikasi ini dari hp saya. Mohan perhatiannya. Terima kasih🙏",5,93,3.29.3,2022-03-01 05:20:12,,
gp:AOqpTOFiKIKdLsdTSn4rlPqHYC6JuAYgi3DWSP40o6C0k_-I-Wpp4GQFR3VCMniMvVLAE01wzdg9X1HjqCi8Yg,Yan Ya,https://play-lh.googleusercontent.com/a/AATXAJxjrQgxtkUAqZNUkBrxN0CrWLMobva1aMxOFolP=mo,Sistemnya masih ketinggalan jauh untuk update reksadanax dgn kesai. Msh sekali 2 suka eror. Mohon diperbaiki lagi demi kenyamanan pengguna. Itu saja yang saya temui di apk ini mksh,1,87,3.29.3,2022-03-14 11:35:35,"Hai kak, silahkan cek kembali di KSEI ketika unit sudah masuk ya. Unit reksa dana akan masuk ke portofolio 1 hari kerja setelah tanggal status order beli berhasil. Info lebih lanjut hubungi live chat Bibit atau WA +622150864230, tim support kami akan langsung membantu masalah kakak. Terima kasih
",2022-03-07 14:43:51
gp:AOqpTOGohgOM5Z9XQ3J1WuOAa_ICEUucd7nAJ3jjL86usCcKedUoCUWPK4C3t-Bm3CrxzcbqHyru0vYFiZEpgw,theodorus budi,https://play-lh.googleusercontent.com/a-/AOh14GjNKONQRt8-zopU3wIcLs-i2EA4yP-JfbrXYrAixA,"utk proses daftarnya mudah, utk yg masih awam investasi nya juga mudah ngikutin robo nya aja..semoga amanah. Sejauh ini yakin si dgn aplikasi ini karna OJK dan apalagi om Deddy Corbuzier bintang iklanya..mantap.",5,95,3.29.3,2022-03-07 02:48:33,,
gp:AOqpTOFlZVeMY0IRBr6CjnafjEc9Hiw6n4B38m4Wqoaihr9cEEf4qznf3ijXZOOf20YI29wZgeOpWhiPuj7ZyQ,Bagus T.P.,https://play-lh.googleusercontent.com/a/AATXAJyary58EO-z-sIW9dXQ2-AutLyXlrSlFvfAPDwR=mo,"Simple, sederhana dan ramah pengguna. Nggak jelek, tapi pilihan reksadananya kurang banyak. Tolong dikasih pilihan untuk menambah di luar pilihan aplikasi.",5,54,3.29.3,2022-03-04 15:54:30,,
gp:AOqpTOGfmPWd2Lp9CGVJMB4U2GhZ0SJMtDHlFOo1eMWfApNj1Tg8ztyTDMdP6VOojdYkoSA4HEGl7WR3r6YOYw,robi'in pnk,https://play-lh.googleusercontent.com/a/AATXAJyUEUXtZvTKsYEcoKZzrXhyX_wQFi4VBCFPiPU=mo,Mohon maaf bpak/ibu. Sya mengurungkan pengajuan saya. Tolong di hapus data data sya. Jika data sya di gunakan tanpa sepengetahuan sya. Sya tidak bertanggung jawab. Trmaksih,1,75,3.29.3,2022-03-04 16:40:08,"Hai kak, Bibit sudah mengikuti standar keamanan untuk lembaga keuangan. Data yang kakak kirim ke Bibit telah terenkripsi dengan aman. Apabila ada kendala dan ingin melakukan penghapusan akun, bisa langsung menghubungi layanan live chat Bibit atau WA +622150864230 agar tim support kami dapat segera bantu lebih lanjut masalah kakak. Terima kasih",2022-03-05 04:43:16
gp:AOqpTOGUuH3h22ydJXA6wMk2pP91iKw4WRt6bluieaYyAAMnTmgmbfBAotU1fHRyUsltdCQ8eMqzSj2MasXihA,Ikra Adriyanto,https://play-lh.googleusercontent.com/a-/AOh14GgNKgjjXtBHoeUanY1W1rpvjZYZCNRKSyA9vjlv,Sering diperbaiki karena kadang setiap mau login ke aplikasi kadang lama. Tolong diperbaiki dan diringankan agar ketika login tidak terlalu lama gambar nya muncul atau gagal.,3,7,3.30.2,2022-03-19 16:21:10,,
gp:AOqpTOGkq7eeR7Z28vQFxtI5_rfQVpDFgPshkqayGpdUPLLIUjEHttRff9oiFZZ2oFfrja_nwLBTB1A2OGidgw,Fanny Merian,https://play-lh.googleusercontent.com/a-/AOh14Gi3e9wJaIOgWFFlgW5n6-5cUIK8NcXbrZkQyZW-rA,Info dong cara penarikan uang bagaimana .. kirain bibit aplilasi bagus ternyata Zonk sama anak . Info dong yg tau cara nya buat menarik duit agar kembali ke rekening kita . .,2,10,3.29.3,2022-03-08 00:58:09,"Hai kak, kebijakan dari Bibit kakak baru bisa jual reksa dana 1 hari kerja setelah tanggal pembelian berhasil sekitar pukul 17.00-22.00 WIB, untuk status order silahkan cek di menu transaksi ya & butuh waktu pencairan maks 7 hari kerja. Info lebih lanjut hubungi live chat/WA +622150864230, tim support kami akan segera membantu kakak. Terima kasih
",2022-03-08 01:22:53
gp:AOqpTOGlXGlCcvfrQgi1kPsiqGCmDKvEF-OGYOnq7Ukq8MI-ibAh7XmV1QJZ0vXSLubBgBJxxP4u2taekQNeDg,Denny chaniago,https://play-lh.googleusercontent.com/a-/AOh14Gg8I-t7wGuLlEPEQv-1B-NWoDY9V2gYyuo58UE35g,saya ikhlaskan saja uang sy sm aplikasi bibit...krna saya udh bosaan trlalu lama menunggu...sampai skrng sldo hasil pnjualan dana tabungan sy...blm msk2...dri pd mnunggu trlalu lama...bosan...mnding sy ikhlaskan saja...mngkin dia lebih mmbutuhan dri pd saya...udh lah sy ksih bntang full..biar tambah puas lg mnnggunya...sukses buat bibit,5,18,3.29.3,2022-03-06 05:41:06,,
gp:AOqpTOHl60SsoURY3aN41gzncxAq5xLJAzQYjJaIsKaJvNCngWqVzSaLHmNVNYoHwn28TzxGPCJKGBDweJEq1Q,Diana Aria,https://play-lh.googleusercontent.com/a-/AOh14Gg3S5979SQWYViP7rI3lPSgJupw6uX3haMg5EI01Q,"Masukkan untuk aplikasi bibit, tolong tambahkan tanggal masuk dana yang sudah dicairkan. Karena saya kesulitan membedakan dana yang sudah cair dan belum",3,8,3.29.2,2022-02-28 05:11:03,,
